127.0.0.1 - - [03/Apr/2023:16:20:53 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:20:54 +0900] "GET /controller/ HTTP/1.1" 200 2062
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:20:54 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:20:59 +0900] "GET /controller/boardMain.do HTTP/1.1" 200 8088
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:20:59 +0900] "GET /controller/board/all HTTP/1.1" 200 1536
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:21:03 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 2540
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:22:44 +0900] "GET /controller/ HTTP/1.1" 200 2062
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:23:19 +0900] "GET /controller/ HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:23:19 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:23:25 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 2540
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:23:27 +0900] "GET /controller/ HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:23:37 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 2540
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:23:47 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:23:47 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:23:50 +0900] "GET /controller/ HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:23:51 +0900] "GET /controller/ HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:23:52 +0900] "GET /controller/boardMain.do HTTP/1.1" 200 8088
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:23:52 +0900] "GET /controller/board/all HTTP/1.1" 200 1536
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:23:53 +0900] "GET /controller/ HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:23:54 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:23:55 +0900] "GET /controller/boardMain.do HTTP/1.1" 200 8088
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:23:55 +0900] "GET /controller/board/all HTTP/1.1" 200 1536
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:24:10 +0900] "GET /controller/boardMain.do HTTP/1.1" 200 8090
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:24:10 +0900] "GET /controller/board/all HTTP/1.1" 200 1536
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:24:10 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:31:05 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 4061
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:31:43 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 4072
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:31:43 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:31:59 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 4065
